;p00;p01
306;19954;Эмульсовар
307;27866;Энергетик
308;27872;Энергетик участка
309;27875;Энергетик цеха
310;27879;Энергодиспетчер
311;27883;Энтомолог
312;27887;Энтофитопатолог
313;27891;Эпидемиолог
314;20025;Агент по приему заказов на билеты
315;20026;Агент по продаже недвижимости
316;20028;Агент по розыску грузов и багажа
317;20031;Агент по снабжению
318;20034;Агент страховой
319;20035;Агент торговый
320;10041;Агломератчик
321;20036;Агролесомелиоратор
322;20038;Агрометеоролог
323;20040;Агроном
324;20050;Агроном по защите растений
325;20056;Агрохимик
326;20059;Адвокат
327;20061;Административный секретарь
328;20062;Администратор
329;20065;Администратор дежурный
330;20068;Администратор зала
331;20071;Администратор кино
332;20074;Администратор съемочной группы
333;20077;Администратор телевидения
334;20080;Академик-секретарь академии
335;10043;Аквадировщик
336;10045;Акклиматизатор
337;20083;Аккомпаниатор
338;10047;Аккумуляторщик
339;20086;Акушерка
340;10051;Алюминировщик
341;10055;Ангобировщик
342;10056;Ангобировщик санитарно-строительных изделий
343;10060;Антенщик-мачтовик
344;10062;Антикоррозийщик
345;10067;Аппаратчик абсолютирования
346;10069;Аппаратчик абсорбции
347;10071;Аппаратчик адсорбции
348;10073;Аппаратчик азотирования
349;10075;Аппаратчик активации
350;10080;Аппаратчик аммонолиза
351;10083;Аппаратчик аппретирования
352;10085;Аппаратчик ацеталирования
353;10088;Аппаратчик ацилирования
354;10092;Аппаратчик бельевых сушильных установок
355;10094;Аппаратчик бисульфитирования ванилина
356;10103;Аппаратчик вакуум-приемников
357;10105;Аппаратчик вакуум-сушильной установки
358;10109;Аппаратчик валки изделий
359;10111;Аппаратчик-вальцевар
360;10114;Аппаратчик варки утфеля
361;10118;Аппаратчик водно-химической обработки
362;10120;Аппаратчик возгонки
363;10122;Аппаратчик воздухоразделения
364;10125;Аппаратчик восстановления молока
365;10131;Аппаратчик в производстве металлических порошков
366;10133;Аппаратчик в производстве солей
367;10135;Аппаратчик в производстве твердых сплавов и тугоплавких металлов
368;10137;Аппаратчик в производстве титана и редких металлов
369;10146;Аппаратчик выделения карбинола
370;10148;Аппаратчик выделения псевдобутилена
371;10150;Аппаратчик выделения серы
372;10151;Аппаратчик выделения фтористого бора
373;10153;Аппаратчик выпаривания
374;10155;Аппаратчик выпаривания и гранулирования
375;10158;Аппаратчик выпарных аппаратов для получения твердого продукта
376;10160;Аппаратчик выращивания дрожжей
377;10162;Аппаратчик высаждения
378;10166;Аппаратчик вытяжки
379;10170;Аппаратчик газового консервирования
380;10174;Аппаратчик газоразделения
381;10177;Аппаратчик гидратации
382;10178;Аппаратчик гидратации
383;10179;Аппаратчик гидрирования
384;10181;Аппаратчик гидролиза
385;10183;Аппаратчик гидролиза жира и печени
386;20007;Агент морской
387;10185;Аппаратчик гидролиза крахмального молока
388;10187;Аппаратчик-гидрометаллург
389;10189;Аппаратчик гидрохлорирования
390;10191;Аппаратчик гомогенизации
391;10195;Аппаратчик гомогенизации пластических масс
392;10197;Аппаратчик гранулирования
393;10202;Аппаратчик дегидрирования
394;10204;Аппаратчик дезодорации
395;10208;Аппаратчик деполимеризации
396;10210;Аппаратчик десорбции
397;10213;Аппаратчик десублимации
398;10219;Аппаратчик димеризации
399;10224;Аппаратчик диспропорционирования
400;10226;Аппаратчик диффузии
401;10228;Аппаратчик дозирования
402;10232;Аппаратчик дозревания
403;10240;Аппаратчик енолизации
404;10242;Аппаратчик желатинизации
405;10245;Аппаратчик жироочистки
406;10247;Аппаратчик-заварщик
407;10251;Аппаратчик запаривания
408;10253;Аппаратчик запаривания одонков
409;10255;Аппаратчик золения
410;10257;Аппаратчик золки
411;10259;Аппаратчик извлечения побочных продуктов
412;10261;Аппаратчик изготовления армированных прессовочных материалов
413;10263;Аппаратчик изготовления баритмассы
414;10265;Аппаратчик изготовления искусственного шеелита
415;10267;Аппаратчик изготовления нетканых стекловолокнистых материалов
416;11209;Бондарь-укупорщик
417;10275;Аппаратчик изготовления рентгеновских экранов
418;10277;Аппаратчик изготовления термопасты
419;10279;Аппаратчик измельчения и предсозревания
420;10281;Аппаратчик изомеризации
421;10285;Аппаратчик-индулиновар
422;10291;Аппаратчик ионообменной очистки глицерина
423;10293;Аппаратчик ионообменной очистки химико-фармацевтических препаратов
424;10298;Аппаратчик калибровки
425;10300;Аппаратчик карбидизации
426;10304;Аппаратчик карбонизации
427;10308;Аппаратчик кислотной обработки спилка
428;10312;Аппаратчик коконозапарочной машины
429;10314;Аппаратчик комбикормового производства
430;10321;Аппаратчик конденсации
431;10323;Аппаратчик контактирования
432;10324;Аппаратчик контактной выпарки
433;10327;Аппаратчик концентрирования кислот
434;10329;Аппаратчик коньячного производства
435;10331;Аппаратчик-краскотер
436;10332;Аппаратчик крахмального агрегата
437;10334;Аппаратчик крашения и жирования кож
438;10336;Аппаратчик кристаллизации
439;10338;Аппаратчик кристаллизации и центрифугирования
440;10344;Аппаратчик-лаковар
441;10348;Аппаратчик литья и рубки
442;10352;Аппаратчик мерсеризации
443;10353;Аппаратчик мерсеризации
444;10358;Аппаратчик мокрой классификации
445;10360;Аппаратчик мукомольного производства
446;10362;Аппаратчик мыловарения
447;10363;Аппаратчик мягчения кожевенных полуфабрикатов и меховых шкурок
448;10371;Аппаратчик на плазменных установках
449;10373;Аппаратчик на приготовлении смесей и растворов
450;10385;Аппаратчик-нейтрализаторщик
451;10365;Аппаратчик нагрева теплоносителей
452;10377;Аппаратчик напыления металлом
453;10379;Аппаратчик напыления стекловолокнистых материалов
454;10381;Аппаратчик насыщения
455;10386;Аппаратчик нейтрализации
456;10388;Аппаратчик никелирования стеклоткани
457;10394;Аппаратчик нитрозного процесса
458;10396;Аппаратчик обезвоживания
459;10398;Аппаратчик обезвоживания битума
460;10400;Аппаратчик обезвоздушивания и фильтрации
461;10402;Аппаратчик обезжиривания
462;10409;Аппаратчик обессоливания воды
463;10410;Аппаратчик обесфеноливания и обеспиридинивания масел
464;10412;Аппаратчик обжига
465;10414;Аппаратчик облагораживания гексола
466;10416;Аппаратчик облучения жира
467;10418;Аппаратчик обогащения золотосодержаших руд
468;10420;Аппаратчик обработки
469;10424;Аппаратчик обработки крови
470;10429;Аппаратчик обработки эфирных масел
471;10431;Аппаратчик окисления
472;10433;Аппаратчик окисления битума
473;10435;Аппаратчик окисления молибденовых отходов
474;10439;Аппаратчик оксимирования
475;10441;Аппаратчик оксихлорирования
476;10443;Аппаратчик-олифовар
477;10455;Аппаратчик ориентации органического стекла
478;10449;Аппаратчик осаждения
479;10451;Аппаратчик осаждения глютена
480;10453;Аппаратчик осушки газа
481;10457;Аппаратчик отбеливания
482;10461;Аппаратчик отверждения
483;10463;Аппаратчик отделки и сушки химической нити
484;10465;Аппаратчик отжига кристаллов корунда
485;10467;Аппаратчик отжига хрома
486;10469;Аппаратчик отжима
487;10471;Аппаратчик откатки
488;10473;Аппаратчик-отливщик кинофотоосновы и техпленок
489;10477;Аппаратчик-отливщик пленки бутафоль
490;10479;Аппаратчик отстаивания
491;10481;Аппаратчик охлаждения
492;10482;Аппаратчик охлаждения молочных продуктов
493;10486;Аппаратчик очистки газа
494;10488;Аппаратчик очистки жидкости
495;10492;Аппаратчик парафинирования ткани
496;10494;Аппаратчик пароводотермического агрегата
497;10501;Аппаратчик перегонки
498;10503;Аппаратчик перегонки и ректификации спирта
499;10505;Аппаратчик перегревания
500;10507;Аппаратчик переработки отходов химического производства
501;10509;Аппаратчик переэтерификации
502;10511;Аппаратчик перколяции
503;10513;Аппаратчик печей восстановления
504;10515;Аппаратчик пиролиза
505;10523;Аппаратчик по выращиванию монокристаллов и лент
506;10525;Аппаратчик по выщелачиванию фибры
507;10529;Аппаратчик-подслойщик фотостекла
508;10531;Аппаратчик по загрузке пека
509;10532;Аппаратчик по изготовлению клеевой нити
510;10534;Аппаратчик по изготовлению шлифовальной шкурки
511;10538;Аппаратчик-поливщик магнитных лент
512;10540;Аппаратчик-поливщик фотоэмульсий
513;10625;Аппаратчик по насасыванию диафрагм
514;10627;Аппаратчик по обработке и купажированию уксуса
515;10629;Аппаратчик по обработке сырого пектина
516;10631;Аппаратчик по обслуживанию рекуператоров системы и охлаждения
517;10637;Аппаратчик по приготовлению глинозема
518;10639;Аппаратчик по приготовлению майонеза
519;10641;Аппаратчик по приготовлению химреагентов
520;10647;Аппаратчик по производству синтетических клеящих смол
521;10651;Аппаратчик по разделению редкоземельных элементов
522;10653;Аппаратчик по регенерации селена
523;10655;Аппаратчик по регенерации серы
524;10657;Аппаратчик по сбору и обогащению шлама
525;10659;Аппаратчик по сушке торфа
526;10527;Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции
527;10542;Аппаратчик поликонденсации
528;10544;Аппаратчик полимеризации
529;10546;Аппаратчик получения высокотемпературного пека
530;10550;Аппаратчик получения гексахлорбензола
531;10558;Аппаратчик получения зародышей двуокиси титана
532;10566;Аппаратчик получения комплексных соединений
533;10568;Аппаратчик получения кукурузного масла
534;10571;Аппаратчик получения лаков и эмалей на полимеризационных смолах
535;10573;Аппаратчик получения метатитановой кислоты
536;10577;Аппаратчик получения нитролигнина
537;10579;Аппаратчик получения окислов металлов
538;10583;Аппаратчик получения полых микросфер
539;10587;Аппаратчик получения сернистой кислоты
540;10589;Аппаратчик получения сероуглерода-сырца
541;10593;Аппаратчик получения синтетических гормонов
542;10595;Аппаратчик получения сиропов
543;10598;Аппаратчик получения составов для рентгеновских экранов
544;10600;Аппаратчик получения сульфата аммония
545;10602;Аппаратчик получения сухих кормов
546;10603;Аппаратчик получения сухого крахмала
547;10605;Аппаратчик получения сырого бензола
548;10607;Аппаратчик получения сырого крахмала
549;10609;Аппаратчик получения технического углерода
550;10611;Аппаратчик получения трихлорпропана и дихлоргидина
551;10613;Аппаратчик получения углекислоты
552;10615;Аппаратчик получения фосфатидов
553;10616;Аппаратчик получения фотогипосульфита
554;10618;Аппаратчик получения фурановых соединений
555;10620;Аппаратчик получения хлорного железа
556;10622;Аппаратчик получения чистого антрацена
557;10663;Аппаратчик приготовления амальгамы натрия
558;10665;Аппаратчик приготовления брикетной смеси
559;10669;Аппаратчик приготовления высокожирных эмульсий
560;10671;Аппаратчик приготовления дубильных экстрактов
561;10673;Аппаратчик приготовления замесов
562;10677;Аппаратчик приготовления инвертного сиропа
563;10679;Аппаратчик приготовления каменноугольного лака
564;10683;Аппаратчик приготовления компаундов
565;10685;Аппаратчик приготовления косметических средств
566;10687;Аппаратчик приготовления кулинарных и кондитерских жиров
567;10689;Аппаратчик приготовления лака
568;10693;Аппаратчик приготовления латексной смеси
569;10695;Аппаратчик приготовления медицинских масс и мазей
570;10697;Аппаратчик приготовления мездрового клея
571;10698;Аппаратчик приготовления мыльного клея
572;10700;Аппаратчик приготовления окисленного крахмала
573;10702;Аппаратчик приготовления парфюмерных композиций и жидкостей
574;10704;Аппаратчик приготовления пасты
575;10710;Аппаратчик приготовления препарированной смолы
576;10716;Аппаратчик приготовления резиновых клеев и покрытий
577;10718;Аппаратчик приготовления связующих
578;10720;Аппаратчик приготовления сернокислого глинозема
579;10722;Аппаратчик приготовления стерильных растворов
580;10724;Аппаратчик приготовления сырой смеси
581;10726;Аппаратчик приготовления тресты
582;10727;Аппаратчик приготовления ферментного препарата
583;10731;Аппаратчик приготовления электролита
584;10735;Аппаратчик приготовления эмульсий
585;10737;Аппаратчик производства аг-соли
586;10741;Аппаратчик производства адипонитрила
587;10743;Аппаратчик производства азокрасителей
588;10745;Аппаратчик производства альбумина
589;10749;Аппаратчик производства аэросилы
590;10753;Аппаратчик производства бактерийных препаратов
591;10755;Аппаратчик производства бертолетовой соли
592;10757;Аппаратчик производства борной кислоты
593;10758;Аппаратчик производства бульонных кубиков
594;10761;Аппаратчик производства гематогена и медицинской желчи
595;10763;Аппаратчик производства гидросульфита натрия
596;10771;Аппаратчик производства дициандиамида
597;10773;Аппаратчик производства дициклопентадиена
598;10775;Аппаратчик производства желтого фосфора
599;10779;Аппаратчик производства заквасок
600;10780;Аппаратчик производства индола
601;10782;Аппаратчик производства казеинового клея
602;10784;Аппаратчик производства калиевой селитры
603;10786;Аппаратчик производства кисломолочных и детских молочных продуктов
604;10790;Аппаратчик производства контактной серной кислоты
605;10792;Аппаратчик производства корунда
606;10794;Аппаратчик производства костного клея
607;10796;Аппаратчик производства красителей для меха
608;10798;Аппаратчик производства красного фосфора
609;10800;Аппаратчик производства кремнийорганических лаков
610;10581;Аппаратчик получения пата
611;10802;Аппаратчик производства креолина и лизола
612;10804;Аппаратчик производства криолита
613;10806;Аппаратчик производства литопона
614;10808;Аппаратчик производства малотоннажных продуктов
615;10810;Аппаратчик производства мездрового клея
616;10816;Аппаратчик производства мочевины
617;10817;Аппаратчик производства мышьяковистых солей
618;10819;Аппаратчик производства надперекиси калия
619;10823;Аппаратчик производства нитрата и нитрита натрия
620;10826;Аппаратчик производства озокерита и озокеритовой продукции
621;10830;Аппаратчик производства пищевых жиров
622;10832;Аппаратчик производства плавленого сыра
623;10836;Аппаратчик производства реагентов
624;10838;Аппаратчик производства регенеративных веществ
625;10840;Аппаратчик производства светосоставов
626;10842;Аппаратчик производства силикагелей
627;10844;Аппаратчик производства силикатного клея
628;10846;Аппаратчик производства синтетических красителей
629;10848;Аппаратчик производства смазочного масла
630;10850;Аппаратчик производства спектрально-чистых газов
631;10852;Аппаратчик производства сульфата аммония
632;10854;Аппаратчик производства сульфитных солей
633;10855;Аппаратчик производства сульфомасел и ядохимикатов
634;10859;Аппаратчик производства термической фосфорной кислоты
635;10861;Аппаратчик производства технической продукции
636;10863;Аппаратчик производства топленого масла
637;10867;Аппаратчик производства фенилметилуретилана
638;10869;Аппаратчик производства ферментов и плазмозаменяющих препаратов
639;10871;Аппаратчик производства формованного кокса
640;10874;Аппаратчик производства фосфорных соединений
641;10876;Аппаратчик производства фталоцианиновых красителей
642;10878;Аппаратчик производства фтористого натрия
643;10880;Аппаратчик производства химических реактивов
644;10882;Аппаратчик производства хромовых соединений
645;10884;Аппаратчик производства цианистых металлов
646;10886;Аппаратчик производства цинкового купороса
647;10887;Аппаратчик производства цинковой пыли
648;10893;Аппаратчик промывки
649;10895;Аппаратчик промывки мездры, шерсти, щетины и волос
650;10897;Аппаратчик пропитки
651;10899;Аппаратчик пропитки и сушки асбостальных листов
652;10901;Аппаратчик пропитки облицовочных материалов
653;10903;Аппаратчик процесса брожения
654;10905;Аппаратчик разложения
655;10907;Аппаратчик рассева
656;10909;Аппаратчик растворения
657;10912;Аппаратчик растворения лаковых основ
658;10914;Аппаратчик расщепления жиров
659;10916;Аппаратчик рафинации жиров и масел
660;10919;Аппаратчик рафинирования щелочных металлов
661;10923;Аппаратчик регенерации воскомассы
662;10925;Аппаратчик рекристаллизации
663;10927;Аппаратчик рекуперации
664;10931;Аппаратчик сгустителей
665;10935;Аппаратчик сепарирования
666;47106;Техник связи
667;10937;Аппаратчик сепарирования и флотации
668;10939;Аппаратчик-сернильщик
669;10941;Аппаратчик сжигания
670;10943;Аппаратчик сжигания сероводорода
671;10945;Аппаратчик-сиккативовар
672;10947;Аппаратчик силиконирования
673;10949;Аппаратчик синтеза
674;10953;Аппаратчик скипидарной установки
675;10955;Аппаратчик смесителей
676;10957;Аппаратчик смешивания
677;10959;Аппаратчик смешивания красителей
678;10961;Аппаратчик созревания оболочки
679;10963;Аппаратчик солеобогатительной установки
680;10965;Аппаратчик солеобразования
681;10969;Аппаратчик спекания
682;10971;Аппаратчик сплавления
683;10972;Аппаратчик средоварения
684;10973;Аппаратчик стандартизации
685;10976;Аппаратчик стерилизации
686;10978;Аппаратчик стерилизации консервов
687;10984;Аппаратчик-сульфировщик
688;10988;Аппаратчик-сульфитировщик
689;10990;Аппаратчик сушильной установки
690;10994;Аппаратчик сушки
691;10996;Аппаратчик сушки и карбонизации лигнина и целлолигнита
692;10998;Аппаратчик сушки и окисления магнетита
693;11000;Аппаратчик сушки клея и желатина
694;11002;Аппаратчик сушки кости-паренки
695;11004;Аппаратчик сушки спичечных коробок
696;11007;Аппаратчик талловой установки
697;11013;Аппаратчик термической коагуляции белковых веществ
698;11017;Аппаратчик термической обработки мясопродуктов
699;11019;Аппаратчик термической обработки субпродуктов
700;11021;Аппаратчик термовлажностной обработки
701;11023;Аппаратчик термообработки коксуемой шихты
702;11027;Аппаратчик термообработки ткани
703;11029;Аппаратчик терморелаксации пряжи
704;11030;Аппаратчик термостабилизации
705;11032;Аппаратчик томатосокового агрегата
706;11034;Аппаратчик увлажнения
707;11038;Аппаратчик улавливания жиров
708;11041;Аппаратчик уплотнения технического углерода
709;11043;Аппаратчик установки для отделения мяса от кости
710;11045;Аппаратчик установки нейтрального газа
711;11049;Аппаратчик установки производства отбельной земли
